"Vendor Name","Vendor Location",vendor_zip_code
"Aztek Label","Anaheim, CA",92807
"Blue Shield of California","Anaheim, CA",92850
"Diversified Printing & Pub","Brea, CA",92621
"Expedata Inc","Fresno, CA",93726
"Wakefield Co","Fresno, CA",93711
"Zip Print & Copy Center","Fresno, CA",93777
"BFI Industries","Fresno, CA",93792
"Abbey Office Furnishings","Fresno, CA",93722
"Robbins Mobile Lock And Key","Fresno, CA",93726
"Bill Marvin Electric Inc","Fresno, CA",93703
"City Of Fresno","Fresno, CA",93718
"California Business Machines","Fresno, CA",93710
"Frank E Wilber Co","Fresno, CA",93727
"ASC Signs","Fresno, CA",93703
"Internal Revenue Service","Fresno, CA",93888
"Coffee Break Service","Fresno, CA",93714
"Fresno Photoengraving Company","Fresno, CA",93718
"Crown Printing","Fresno, CA",93721
"Yale Industrial Trucks-Fresno","Fresno, CA",93706
"California Data Marketing","Fresno, CA",93721
"Digital Dreamworks","Fresno, CA",93711
Costco,"Fresno, CA",93711
"Dristas Groom & McCormick","Fresno, CA",93720
"Gostanian General Building","Fresno, CA",93711
Graylift,"Fresno, CA",93745
"Net Asset, Llc","Fresno, CA",93721
"Shields Design","Fresno, CA",93728
Pollstar,"Fresno, CA",93722
"Fresno County Tax Collector","Fresno, CA",93715
"Gary McKeighan Insurance","Fresno, CA",93711
"Ph Photographic Services","Fresno, CA",93726
Postmaster,"Fresno, CA",93706
"Fresno Rack & Shelving Inc","Fresno, CA",93722
"Suburban Propane","Fresno, CA",93706
"Lou Gentile's Flower Basket","Fresno, CA",93728
"Yesmed, Inc","Fresno, CA",93718
Dataforms/West,"Fresno, CA",93711
"Zylka Design","Fresno, CA",93711
"Fresno Credit Bureau","Fresno, CA",93714
"The Fresno Bee","Fresno, CA",93786
"Executive Office Products","Fresno, CA",93710
"Retirement Plan Consultants","Fresno, CA",93704
"The Presort Center","Fresno, CA",93706
Valprint,"Fresno, CA",93777
"Vision Envelope & Printing","Gardena, CA",90247
Texaco,"Inglewood, CA",90312
Jobtrak,"Los Angeles, CA",90025
"Opamp Technical Books","Los Angeles, CA",90038
"Ford Motor Credit Company","Los Angeles, CA",90084
"American Express","Los Angeles, CA",90096
"Office Depot","Los Angeles, CA",90074
"Publishers Marketing Assoc","Manhatttan Beach, CA",90266
"Blanchard & Johnson Associates","Mission Viejo, CA",92691
"Blue Cross","Oxnard, CA",93031
"McKesson Water Products","Pasadena, CA",91109
"Wang Laboratories, Inc.","Pasadena, CA",91185
"Roadway Package System, Inc","Pasadena, CA",91185
Unocal,"Pasadena, CA",91186
"California Chamber Of Commerce","Sacramento, CA",95827
"Bill Jones","Sacramento, CA",94244
"State Board Of Equalization","Sacramento, CA",94208
"Franchise Tax Board","Sacramento, CA",94257
"Pacific Bell","Sacramento, CA",95887
"State of California","Sacramento, CA",94230
"DMV Renewal","Sacramento, CA",94294
"Golden Eagle Insurance Co","San Diego, CA",92186
"Pacific Gas & Electric","San Francisco, CA",94152
IBM,"San Francisco, CA",94161
"Kent H Landsberg Co","San Francisco, CA",94160
Computerworld,"San Francisco, CA",94161
"Towne Advertiser's Mailing Svcs","Santa Ana, CA",92704
"The Windows Deck","Santa Barbara, CA",93101
"Cal State Termite","Selma, CA",93662
"Evans Executone Inc","Turlock, CA",95380
"Bertelsmann Industry Svcs. Inc","Valencia, CA",91355
