invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date,vendor_id,vendor_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zip_code,vendor_phone,vendor_contact_last_name,vendor_contact_first_name,default_terms_id,default_account_number
1,122,989319-457,2018-04-08,3813.33,3813.33,0.00,3,2018-05-08,2018-05-07,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
2,123,263253241,2018-04-10,40.20,40.20,0.00,3,2018-05-10,2018-05-14,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
3,123,963253234,2018-04-13,138.75,138.75,0.00,3,2018-05-13,2018-05-09,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
4,123,2-000-2993,2018-04-16,144.70,144.70,0.00,3,2018-05-16,2018-05-12,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
5,123,963253251,2018-04-16,15.50,15.50,0.00,3,2018-05-16,2018-05-11,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
6,123,963253261,2018-04-16,42.75,42.75,0.00,3,2018-05-16,2018-05-21,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
7,123,963253237,2018-04-21,172.50,172.50,0.00,3,2018-05-21,2018-05-22,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
8,89,125520-1,2018-04-24,95.00,95.00,0.00,1,2018-05-04,2018-05-01,89,"Evans Executone Inc","4918 Taylor Ct",NULL,Turlock,CA,95380,NULL,Royce,Hannah,1,522
9,121,97/488,2018-04-24,601.95,601.95,0.00,3,2018-05-24,2018-05-21,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
10,123,263253250,2018-04-24,42.67,42.67,0.00,3,2018-05-24,2018-05-22,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
11,123,963253262,2018-04-25,42.50,42.50,0.00,3,2018-05-25,2018-05-20,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
12,96,I77271-O01,2018-04-26,662.00,662.00,0.00,2,2018-05-16,2018-05-13,96,"Wells Fargo Bank","Business Mastercard","P.O. Box 29479",Phoenix,AZ,85038,"(947) 555-3900",Damion,Mikayla,2,160
13,95,111-92R-10096,2018-04-30,16.33,16.33,0.00,2,2018-05-20,2018-05-23,95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522
14,115,25022117,2018-05-01,6.00,6.00,0.00,4,2018-06-10,2018-06-10,115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553
15,48,P02-88D77S7,2018-05-03,856.92,856.92,0.00,3,2018-06-02,2018-05-30,48,"Fresno County Tax Collector","PO Box 1192",NULL,Fresno,CA,93715,"(559) 555-3482",Brenton,Kila,3,574
16,97,21-4748363,2018-05-03,9.95,9.95,0.00,2,2018-05-23,2018-05-22,97,Compuserve,"Dept L-742",NULL,Columbus,OH,43260,"(614) 555-8600",Armando,Jan,2,572
17,123,4-321-2596,2018-05-05,10.00,10.00,0.00,3,2018-06-04,2018-06-05,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
18,123,963253242,2018-05-06,104.00,104.00,0.00,3,2018-06-05,2018-06-05,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
19,34,QP58872,2018-05-07,116.54,116.54,0.00,1,2018-05-17,2018-05-19,34,IBM,"PO Box 61000",NULL,"San Francisco",CA,94161,"(800) 555-4426",Camron,Trentin,1,160
20,115,24863706,2018-05-10,6.00,6.00,0.00,4,2018-06-19,2018-06-15,115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553
21,119,10843,2018-05-11,4901.26,4901.26,0.00,2,2018-05-31,2018-05-29,119,"Yesmed, Inc","PO Box 2061",NULL,Fresno,CA,93718,"(559) 555-0600",Hernandez,Reba,2,589
22,123,963253235,2018-05-11,108.25,108.25,0.00,3,2018-06-10,2018-06-09,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
23,97,21-4923721,2018-05-13,9.95,9.95,0.00,2,2018-06-02,2018-05-28,97,Compuserve,"Dept L-742",NULL,Columbus,OH,43260,"(614) 555-8600",Armando,Jan,2,572
24,113,77290,2018-05-13,1750.00,1750.00,0.00,5,2018-07-02,2018-07-05,113,Pollstar,"4697 W Jacquelyn Ave",NULL,Fresno,CA,93722,"(559) 555-2631",Aranovitch,Robert,5,520
25,123,963253246,2018-05-13,129.00,129.00,0.00,3,2018-06-12,2018-06-09,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
26,123,4-342-8069,2018-05-14,10.00,10.00,0.00,3,2018-06-13,2018-06-13,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
27,88,972110,2018-05-15,207.78,207.78,0.00,1,2018-05-25,2018-05-27,88,"Edward Data Services","4775 E Miami River Rd",NULL,Cleves,OH,45002,"(513) 555-3043",Helena,Jeanette,1,540
