vendor_name,invoice_number,invoice_date,balance_due
"Blue Cross",547480102,2018-08-01,224.00
"Cardinal Business Media, Inc.",134116,2018-07-28,90.36
"Data Reproductions Corp",39104,2018-07-10,85.31
"Federal Express Corporation",963253264,2018-07-18,52.25
"Federal Express Corporation",263253268,2018-07-21,59.97
"Federal Express Corporation",263253270,2018-07-22,67.92
"Federal Express Corporation",263253273,2018-07-22,30.75
"Ford Motor Credit Company",9982771,2018-07-24,503.20
Ingram,31361833,2018-07-21,579.42
"Malloy Lithographing Inc",P-0608,2018-07-23,19351.18
"Malloy Lithographing Inc",0-2436,2018-07-31,10976.06
