vendor_name,default_account,description
"Abbey Office Furnishings",150,Furniture
"American Booksellers Assoc",574,"Business Licenses and Taxes"
"American Express",160,"Computer Equipment"
"ASC Signs",546,"Exhibits and Shows"
"Ascom Hasler Mailing Systems",532,"Equipment Rental"
AT&T,522,Telephone
"Aztek Label",551,"Business Forms"
"Baker & Taylor Books",572,"Books, Dues, and Subscriptions"
"Bertelsmann Industry Svcs. Inc",400,"Book Printing Costs"
"BFI Industries",521,Utilities
"Bill Jones",589,"Outside Services"
"Bill Marvin Electric Inc",523,"Building Maintenance"
"Blanchard & Johnson Associates",540,"Direct Mail Advertising"
"Blue Cross",510,"Group Insurance"
"Blue Shield of California",510,"Group Insurance"
"Boucher Communications Inc",540,"Direct Mail Advertising"
"Cahners Publishing Company",540,"Direct Mail Advertising"
"Cal State Termite",523,"Building Maintenance"
"California Business Machines",170,"Other Equipment"
"California Chamber Of Commerce",572,"Books, Dues, and Subscriptions"
"California Data Marketing",540,"Direct Mail Advertising"
"Capital Resource Credit",589,"Outside Services"
"Cardinal Business Media, Inc.",540,"Direct Mail Advertising"
"Champion Printing Company",540,"Direct Mail Advertising"
"City Of Fresno",574,"Business Licenses and Taxes"
"Cmg Information Services",540,"Direct Mail Advertising"
"Coffee Break Service",570,"Office Supplies"
Compuserve,572,"Books, Dues, and Subscriptions"
"Computer Library",540,"Direct Mail Advertising"
Computerworld,572,"Books, Dues, and Subscriptions"
Costco,570,"Office Supplies"
"Courier Companies, Inc",400,"Book Printing Costs"
"Crown Printing",400,"Book Printing Costs"
"Custom Printing Company",540,"Direct Mail Advertising"
"Data Reproductions Corp",400,"Book Printing Costs"
Dataforms/West,551,"Business Forms"
"Dean Witter Reynolds",589,"Outside Services"
"Digital Dreamworks",589,"Outside Services"
"Diversified Printing & Pub",400,"Book Printing Costs"
"DMV Renewal",568,"Auto License Fee"
"Dristas Groom & McCormick",591,Accounting
"Edward Data Services",540,"Direct Mail Advertising"
"Enterprise Communications Inc",536,"Card Deck Advertising"
"Evans Executone Inc",522,Telephone
"Executive Office Products",570,"Office Supplies"
"Expedata Inc",589,"Outside Services"
"Federal Express Corporation",553,Freight
"Ford Motor Credit Company",582,"Travel and Accomodations"
"Franchise Tax Board",507,UCI
"Frank E Wilber Co",532,"Equipment Rental"
"Fresno County Tax Collector",574,"Business Licenses and Taxes"
"Fresno Credit Bureau",555,"Collection Agency Fees"
"Fresno Photoengraving Company",403,"Book Production Costs"
"Fresno Rack & Shelving Inc",523,"Building Maintenance"
"Gary McKeighan Insurance",590,"Business Insurance"
"Golden Eagle Insurance Co",590,"Business Insurance"
"Gostanian General Building",523,"Building Maintenance"
Graylift,532,"Equipment Rental"
IBM,160,"Computer Equipment"
Ingram,541,"Space Advertising"
"Internal Revenue Service",235,"Income Taxes Payable"
Jobtrak,572,"Books, Dues, and Subscriptions"
"Kent H Landsberg Co",540,"Direct Mail Advertising"
"Leslie Company",570,"Office Supplies"
"Lou Gentile's Flower Basket",570,"Office Supplies"
"Malloy Lithographing Inc",400,"Book Printing Costs"
