vendor_name,vendor_state
"Abbey Office Furnishings",CA
"American Booksellers Assoc","outside CA"
"American Express",CA
"ASC Signs",CA
"Ascom Hasler Mailing Systems","outside CA"
AT&T,"outside CA"
"Aztek Label",CA
"Baker & Taylor Books","outside CA"
"Bertelsmann Industry Svcs. Inc",CA
"BFI Industries",CA
"Bill Jones",CA
"Bill Marvin Electric Inc",CA
"Blanchard & Johnson Associates",CA
"Blue Cross",CA
"Blue Shield of California",CA
"Boucher Communications Inc","outside CA"
"Cahners Publishing Company","outside CA"
"Cal State Termite",CA
"California Business Machines",CA
"California Chamber Of Commerce",CA
"California Data Marketing",CA
"Capital Resource Credit","outside CA"
"Cardinal Business Media, Inc.","outside CA"
"Champion Printing Company","outside CA"
"City Of Fresno",CA
"Cmg Information Services","outside CA"
"Coffee Break Service",CA
Compuserve,"outside CA"
"Computer Library","outside CA"
Computerworld,CA
Costco,CA
"Courier Companies, Inc","outside CA"
"Crown Printing",CA
"Custom Printing Company","outside CA"
"Data Reproductions Corp","outside CA"
Dataforms/West,CA
"Dean Witter Reynolds","outside CA"
"Digital Dreamworks",CA
"Diversified Printing & Pub",CA
"DMV Renewal",CA
"Dristas Groom & McCormick",CA
"Edward Data Services","outside CA"
"Enterprise Communications Inc","outside CA"
"Evans Executone Inc",CA
"Executive Office Products",CA
"Expedata Inc",CA
"Federal Express Corporation","outside CA"
"Ford Motor Credit Company",CA
"Franchise Tax Board",CA
"Frank E Wilber Co",CA
"Fresno County Tax Collector",CA
"Fresno Credit Bureau",CA
"Fresno Photoengraving Company",CA
"Fresno Rack & Shelving Inc",CA
"Gary McKeighan Insurance",CA
"Golden Eagle Insurance Co",CA
"Gostanian General Building",CA
Graylift,CA
IBM,CA
Ingram,"outside CA"
"Internal Revenue Service",CA
Jobtrak,CA
"Kent H Landsberg Co",CA
"Leslie Company","outside CA"
"Lou Gentile's Flower Basket",CA
"Malloy Lithographing Inc","outside CA"
"Mcgraw Hill Companies","outside CA"
"McKesson Water Products",CA
"Micro Center","outside CA"
"Nat Assoc of College Stores","outside CA"
"National Information Data Ctr","outside CA"
"Naylor Publications Inc","outside CA"
"Net Asset, Llc",CA
"Newbrige Book Clubs","outside CA"
Nielson,"outside CA"
"Office Depot",CA
"Opamp Technical Books",CA
"Open Horizons Publishing","outside CA"
"Pacific Bell",CA
"Pacific Gas & Electric",CA
"Ph Photographic Services",CA
Pollstar,CA
Postmaster,CA
"Publishers Marketing Assoc",CA
"Publishers Weekly","outside CA"
"Quality Education Data","outside CA"
"Register of Copyrights","outside CA"
"Reiter's Scientific & Pro Books","outside CA"
"Retirement Plan Consultants",CA
"Rich Advertising","outside CA"
"Roadway Package System, Inc",CA
"Robbins Mobile Lock And Key",CA
"RR Bowker","outside CA"
"Shields Design",CA
"Simon Direct Inc","outside CA"
"Small Press","outside CA"
"Springhouse Corp","outside CA"
"State Board Of Equalization",CA
"State of California",CA
"Suburban Propane",CA
Texaco,CA
"The Drawing Board","outside CA"
"The Fresno Bee",CA
"The Library Ltd","outside CA"
"The Mailers Guide Co","outside CA"
"The Presort Center",CA
"The Windows Deck",CA
"Towne Advertiser's Mailing Svcs",CA
"United Parcel Service","outside CA"
Unocal,CA
"US Postal Service","outside CA"
Valprint,CA
"Venture Communications Int'l","outside CA"
"Vision Envelope & Printing",CA
"Wakefield Co",CA
"Wang Laboratories, Inc.",CA
"Wells Fargo Bank","outside CA"
"Yale Industrial Trucks-Fresno",CA
"Yesmed, Inc",CA
"Zee Medical Service Co","outside CA"
"Zip Print & Copy Center",CA
"Zylka Design",CA
