invoice_id;vendor_id;invoice_number;invoice_date;invoice_total;payment_total;credit_total;terms_id;invoice_due_date;payment_date
12;96;I77271-O01;2018-04-26;662.00;662.00;0.00;2;2018-05-16;2018-05-13
13;95;111-92R-10096;2018-04-30;16.33;16.33;0.00;2;2018-05-20;2018-05-23
16;97;21-4748363;2018-05-03;9.95;9.95;0.00;2;2018-05-23;2018-05-22
21;119;10843;2018-05-11;4901.26;4901.26;0.00;2;2018-05-31;2018-05-29
23;97;21-4923721;2018-05-13;9.95;9.95;0.00;2;2018-06-02;2018-05-28
44;95;111-92R-10094;2018-06-01;19.67;19.67;0.00;2;2018-06-21;2018-06-24
47;83;31359783;2018-06-03;1575.00;1575.00;0.00;2;2018-06-23;2018-06-21
49;95;111-92R-10097;2018-06-04;16.33;16.33;0.00;2;2018-06-24;2018-06-26
53;95;111-92R-10092;2018-06-09;46.21;46.21;0.00;2;2018-06-29;2018-07-02
68;81;MABO1489;2018-06-21;936.93;936.93;0.00;2;2018-07-11;2018-07-10
69;80;133560;2018-06-22;175.00;175.00;0.00;2;2018-07-12;2018-07-16
82;94;203339-13;2018-07-05;17.50;17.50;0.00;2;2018-07-25;2018-07-27
83;95;111-92R-10093;2018-07-06;39.77;39.77;0.00;2;2018-07-26;2018-07-22
91;95;111-92R-10095;2018-07-15;32.70;32.70;0.00;2;2018-08-04;2018-08-06
95;82;C73-24;2018-07-19;600.00;600.00;0.00;2;2018-08-08;2018-08-13
97;90;97-1024A;2018-07-20;356.48;356.48;0.00;2;2018-08-09;2018-08-07
98;83;31361833;2018-07-21;579.42;0.00;0.00;2;2018-08-10;NULL
110;80;134116;2018-07-28;90.36;0.00;0.00;2;2018-08-17;NULL
115;32;AX-014-027;2018-08-01;434.58;391.12;43.46;2;2018-08-31;NULL
