invoice_id;vendor_id;invoice_number;invoice_date;invoice_total;payment_total;credit_total;terms_id;invoice_due_date;payment_date;invoice_id;invoice_sequence;account_number;line_item_amount;line_item_description
114;123;963253249;2018-08-02;127.75;127.75;0.00;3;2018-09-01;2018-09-04;114;1;553;127.75;Freight
113;37;547480102;2018-08-01;224.00;0.00;0.00;3;2018-08-31;NULL;113;1;510;224.00;"Health Insurance"
112;110;0-2436;2018-07-31;10976.06;0.00;0.00;3;2018-08-30;NULL;112;1;400;10976.06;"VSAM book printing"
111;123;263253257;2018-07-30;22.57;22.57;0.00;3;2018-08-29;2018-09-03;111;1;553;22.57;Freight
110;80;134116;2018-07-28;90.36;0.00;0.00;2;2018-08-17;NULL;110;1;540;90.36;"Card deck advertising"
109;121;97/222;2018-07-25;1000.46;1000.46;0.00;3;2018-08-24;2018-08-22;109;1;403;1000.46;"Crash Course covers"
108;123;963253240;2018-07-24;67.00;67.00;0.00;3;2018-08-23;2018-08-23;108;1;553;67.00;Freight
107;122;989319-447;2018-07-24;3689.99;3689.99;0.00;3;2018-08-23;2018-08-19;107;1;553;3689.99;Freight
106;110;0-2060;2018-07-24;23517.58;21221.63;2295.95;3;2018-08-23;2018-08-27;106;1;400;23517.58;"DB2 book printing"
105;106;9982771;2018-07-24;503.20;0.00;0.00;3;2018-08-23;NULL;105;1;582;503.20;"Bronco lease"
104;123;263253243;2018-07-23;44.44;44.44;0.00;3;2018-08-22;2018-08-24;104;1;553;44.44;Freight
103;122;989319-417;2018-07-23;2051.59;2051.59;0.00;3;2018-08-22;2018-08-24;103;1;553;2051.59;Freight
102;110;P-0608;2018-07-23;20551.18;0.00;1200.00;3;2018-08-22;NULL;102;1;400;20551.18;"CICS book printing"
101;123;263253273;2018-07-22;30.75;0.00;0.00;3;2018-08-21;NULL;101;1;553;30.75;Freight
100;123;263253270;2018-07-22;67.92;0.00;0.00;3;2018-08-21;NULL;100;1;553;67.92;Freight
99;123;263253268;2018-07-21;59.97;0.00;0.00;3;2018-08-20;NULL;99;1;553;59.97;Freight
98;83;31361833;2018-07-21;579.42;0.00;0.00;2;2018-08-10;NULL;98;1;572;579.42;"Catalog ad"
97;90;97-1024A;2018-07-20;356.48;356.48;0.00;2;2018-08-09;2018-08-07;97;1;170;356.48;"Network wiring"
96;110;P-0259;2018-07-19;26881.40;26881.40;0.00;3;2018-08-18;2018-08-20;96;1;400;26881.40;"MVS JCL"
95;82;C73-24;2018-07-19;600.00;600.00;0.00;2;2018-08-08;2018-08-13;95;1;572;600.00;"Books for research"
94;123;963253264;2018-07-18;52.25;0.00;0.00;3;2018-08-17;NULL;94;1;553;52.25;Freight
93;123;4-327-7357;2018-07-16;162.75;162.75;0.00;3;2018-08-15;2018-08-11;93;1;553;162.75;"International shipment"
92;117;111897;2018-07-15;16.62;16.62;0.00;3;2018-08-14;2018-08-14;92;1;521;16.62;Propane-forklift
91;95;111-92R-10095;2018-07-15;32.70;32.70;0.00;2;2018-08-04;2018-08-06;91;1;522;32.70;"Telephone (line 4)"
90;123;963253252;2018-07-12;38.75;38.75;0.00;3;2018-08-11;2018-08-11;90;1;553;38.75;Freight
89;72;39104;2018-07-10;85.31;0.00;0.00;3;2018-08-09;NULL;89;1;400;85.31;"Book copy"
88;123;963253239;2018-07-08;147.25;147.25;0.00;3;2018-08-07;2018-08-11;88;1;553;147.25;Freight
87;123;963253244;2018-07-08;60.00;60.00;0.00;3;2018-08-07;2018-08-09;87;1;553;60.00;Freight
86;123;963253230;2018-07-07;739.20;739.20;0.00;3;2018-08-06;2018-08-06;86;1;553;739.20;Freight
85;123;963253271;2018-07-07;158.00;158.00;0.00;3;2018-08-06;2018-08-11;85;1;553;158.00;"Int'l shipment"
84;123;963253258;2018-07-06;111.00;111.00;0.00;3;2018-08-05;2018-08-05;84;1;553;111.00;Freight
83;95;111-92R-10093;2018-07-06;39.77;39.77;0.00;2;2018-07-26;2018-07-22;83;1;522;39.77;"Telephone (Line 2)"
82;94;203339-13;2018-07-05;17.50;17.50;0.00;2;2018-07-25;2018-07-27;82;1;150;17.50;Supplies
81;123;263253265;2018-07-02;26.25;26.25;0.00;3;2018-08-01;2018-07-28;81;1;553;26.25;Freight
80;122;989319-467;2018-07-01;2318.03;2318.03;0.00;3;2018-07-31;2018-07-29;80;1;553;2318.03;Freight
79;100;587056;2018-06-30;2184.50;2184.50;0.00;4;2018-08-09;2018-08-07;79;1;540;2184.50;"PC card deck"
78;121;97/522;2018-06-28;1962.13;1762.13;200.00;3;2018-07-28;2018-07-30;78;1;403;1197.00;"Cover design"
78;121;97/522;2018-06-28;1962.13;1762.13;200.00;3;2018-07-28;2018-07-30;78;2;540;765.13;"Catalog design"
77;121;97/553;2018-06-25;904.14;904.14;0.00;3;2018-07-25;2018-07-25;77;1;403;904.14;"Cover design"
76;123;963253248;2018-06-24;241.00;241.00;0.00;3;2018-07-24;2018-07-25;76;1;553;241.00;"Int'l shipment"
75;123;7548906-20;2018-06-24;27.00;27.00;0.00;3;2018-07-24;2018-07-24;75;1;553;27.00;Freight
74;102;109596;2018-06-24;41.80;41.80;0.00;4;2018-08-03;2018-08-04;74;1;570;41.80;Coffee
73;114;CBM9920-M-T77109;2018-06-23;290.00;290.00;0.00;1;2018-07-03;2018-06-29;73;1;552;290.00;"International pkg."
72;123;43966316;2018-06-22;10.00;10.00;0.00;3;2018-07-22;2018-07-17;72;1;553;10.00;"Address correction"
71;123;963253254;2018-06-22;108.50;108.50;0.00;3;2018-07-22;2018-07-20;71;1;553;108.50;Freight
70;115;24780512;2018-06-22;6.00;6.00;0.00;4;2018-08-01;2018-07-29;70;1;553;6.00;Freight
69;80;133560;2018-06-22;175.00;175.00;0.00;2;2018-07-12;2018-07-16;69;1;540;175.00;"Card deck advertising"
68;81;MABO1489;2018-06-21;936.93;936.93;0.00;2;2018-07-11;2018-07-10;68;1;160;936.93;"Quarterly Maintenance"
67;122;989319-487;2018-06-20;1927.54;1927.54;0.00;3;2018-07-20;2018-07-18;67;1;553;1927.54;Freight
66;123;263253253;2018-06-18;31.95;31.95;0.00;3;2018-07-18;2018-07-21;66;1;553;31.95;Freight
65;99;509786;2018-06-18;6940.25;6940.25;0.00;3;2018-07-18;2018-07-15;65;1;400;6940.25;"OS Utilities"
64;123;963253267;2018-06-17;23.50;23.50;0.00;3;2018-07-17;2018-07-19;64;1;553;23.50;Freight
63;122;989319-427;2018-06-16;2115.81;2115.81;0.00;3;2018-07-16;2018-07-19;63;1;553;2115.81;Freight
62;123;963253269;2018-06-15;26.75;26.75;0.00;3;2018-07-15;2018-07-11;62;1;553;26.75;Freight
61;115;24946731;2018-06-15;25.67;25.67;0.00;4;2018-07-25;2018-07-26;61;1;553;25.67;"Freight out"
60;122;989319-497;2018-06-12;2312.20;2312.20;0.00;3;2018-07-12;2018-07-09;60;1;553;2312.20;Freight
59;123;4-314-3057;2018-06-11;13.75;13.75;0.00;3;2018-07-11;2018-07-15;59;1;553;13.75;Freight
58;123;963253256;2018-06-11;53.25;53.25;0.00;3;2018-07-11;2018-07-07;58;1;553;53.25;Freight
57;103;75C-90227;2018-06-11;1367.50;1367.50;0.00;5;2018-07-31;2018-07-31;57;1;589;1367.50;"401K Contributions"
56;86;367447;2018-06-11;2433.00;2433.00;0.00;1;2018-06-21;2018-06-17;56;1;572;2433.00;"Card deck"
55;123;963253245;2018-06-10;40.75;40.75;0.00;3;2018-07-10;2018-07-12;55;1;553;40.75;Freight
