vendor_name,total_payment
"Malloy Lithographing Inc",86069.22
"United Parcel Service",23177.96
"Data Reproductions Corp",21842.00
"Digital Dreamworks",7125.34
"Bertelsmann Industry Svcs. Inc",6940.25
"Zylka Design",6740.25
"Yesmed, Inc",4901.26
"Federal Express Corporation",4167.13
Computerworld,2433.00
"Cahners Publishing Company",2184.50
Pollstar,1750.00
"Franchise Tax Board",1600.00
Ingram,1575.00
"Dean Witter Reynolds",1367.50
IBM,1200.12
"Wang Laboratories, Inc.",936.93
"Fresno County Tax Collector",856.92
"Wells Fargo Bank",662.00
"Reiter's Scientific & Pro Books",600.00
"Gostanian General Building",450.00
"Wakefield Co",356.48
"Blue Cross",340.00
Postmaster,290.00
"Dristas Groom & McCormick",220.00
"Edward Data Services",207.78
"Cardinal Business Media, Inc.",175.00
"Pacific Bell",171.01
"Evans Executone Inc",95.00
"Roadway Package System, Inc",43.67
"Coffee Break Service",41.80
Compuserve,19.90
"Abbey Office Furnishings",17.50
"Suburban Propane",16.62
"Ford Motor Credit Company",0.00
"American Booksellers Assoc",NULL
"American Express",NULL
"ASC Signs",NULL
"Ascom Hasler Mailing Systems",NULL
AT&T,NULL
"Aztek Label",NULL
"Baker & Taylor Books",NULL
"BFI Industries",NULL
"Bill Jones",NULL
"Bill Marvin Electric Inc",NULL
"Blanchard & Johnson Associates",NULL
"Blue Shield of California",NULL
"Boucher Communications Inc",NULL
"Cal State Termite",NULL
"California Business Machines",NULL
"California Chamber Of Commerce",NULL
"California Data Marketing",NULL
"Capital Resource Credit",NULL
"Champion Printing Company",NULL
"City Of Fresno",NULL
"Cmg Information Services",NULL
"Computer Library",NULL
Costco,NULL
"Courier Companies, Inc",NULL
"Crown Printing",NULL
"Custom Printing Company",NULL
Dataforms/West,NULL
"Diversified Printing & Pub",NULL
"DMV Renewal",NULL
"Enterprise Communications Inc",NULL
"Executive Office Products",NULL
"Expedata Inc",NULL
"Frank E Wilber Co",NULL
"Fresno Credit Bureau",NULL
"Fresno Photoengraving Company",NULL
"Fresno Rack & Shelving Inc",NULL
"Gary McKeighan Insurance",NULL
"Golden Eagle Insurance Co",NULL
Graylift,NULL
"Internal Revenue Service",NULL
Jobtrak,NULL
"Kent H Landsberg Co",NULL
"Leslie Company",NULL
"Lou Gentile's Flower Basket",NULL
"Mcgraw Hill Companies",NULL
"McKesson Water Products",NULL
"Micro Center",NULL
"Nat Assoc of College Stores",NULL
"National Information Data Ctr",NULL
"Naylor Publications Inc",NULL
"Net Asset, Llc",NULL
"Newbrige Book Clubs",NULL
Nielson,NULL
"Office Depot",NULL
"Opamp Technical Books",NULL
"Open Horizons Publishing",NULL
"Pacific Gas & Electric",NULL
"Ph Photographic Services",NULL
"Publishers Marketing Assoc",NULL
"Publishers Weekly",NULL
"Quality Education Data",NULL
"Register of Copyrights",NULL
"Retirement Plan Consultants",NULL
"Rich Advertising",NULL
"Robbins Mobile Lock And Key",NULL
"RR Bowker",NULL
"Shields Design",NULL
"Simon Direct Inc",NULL
"Small Press",NULL
"Springhouse Corp",NULL
"State Board Of Equalization",NULL
"State of California",NULL
Texaco,NULL
"The Drawing Board",NULL
"The Fresno Bee",NULL
"The Library Ltd",NULL
"The Mailers Guide Co",NULL
"The Presort Center",NULL
"The Windows Deck",NULL
"Towne Advertiser's Mailing Svcs",NULL
Unocal,NULL
"US Postal Service",NULL
Valprint,NULL
"Venture Communications Int'l",NULL
"Vision Envelope & Printing",NULL
"Yale Industrial Trucks-Fresno",NULL
"Zee Medical Service Co",NULL
"Zip Print & Copy Center",NULL
