vendor_name;invoice_count;invoice_sum
"American Booksellers Assoc";0;NULL
"American Express";0;NULL
"ASC Signs";0;NULL
"Ascom Hasler Mailing Systems";0;NULL
AT&T;0;NULL
"Aztek Label";0;NULL
"Baker & Taylor Books";0;NULL
"BFI Industries";0;NULL
"Bill Jones";0;NULL
"Bill Marvin Electric Inc";0;NULL
"Blanchard & Johnson Associates";0;NULL
"Blue Shield of California";0;NULL
"Boucher Communications Inc";0;NULL
"Cal State Termite";0;NULL
"California Business Machines";0;NULL
"California Chamber Of Commerce";0;NULL
"California Data Marketing";0;NULL
"Capital Resource Credit";0;NULL
"Champion Printing Company";0;NULL
"City Of Fresno";0;NULL
"Cmg Information Services";0;NULL
"Computer Library";0;NULL
Costco;0;NULL
"Courier Companies, Inc";0;NULL
"Crown Printing";0;NULL
"Custom Printing Company";0;NULL
Dataforms/West;0;NULL
"Diversified Printing & Pub";0;NULL
"DMV Renewal";0;NULL
"Enterprise Communications Inc";0;NULL
"Executive Office Products";0;NULL
"Expedata Inc";0;NULL
"Frank E Wilber Co";0;NULL
"Fresno Credit Bureau";0;NULL
"Fresno Photoengraving Company";0;NULL
"Fresno Rack & Shelving Inc";0;NULL
"Gary McKeighan Insurance";0;NULL
"Golden Eagle Insurance Co";0;NULL
Graylift;0;NULL
"Internal Revenue Service";0;NULL
Jobtrak;0;NULL
"Kent H Landsberg Co";0;NULL
"Leslie Company";0;NULL
"Lou Gentile's Flower Basket";0;NULL
"Mcgraw Hill Companies";0;NULL
"McKesson Water Products";0;NULL
"Micro Center";0;NULL
"Nat Assoc of College Stores";0;NULL
"National Information Data Ctr";0;NULL
"Naylor Publications Inc";0;NULL
"Net Asset, Llc";0;NULL
"Newbrige Book Clubs";0;NULL
Nielson;0;NULL
"Office Depot";0;NULL
"Opamp Technical Books";0;NULL
"Open Horizons Publishing";0;NULL
"Pacific Gas & Electric";0;NULL
"Ph Photographic Services";0;NULL
"Publishers Marketing Assoc";0;NULL
"Publishers Weekly";0;NULL
"Quality Education Data";0;NULL
"Register of Copyrights";0;NULL
"Retirement Plan Consultants";0;NULL
"Rich Advertising";0;NULL
"Robbins Mobile Lock And Key";0;NULL
"RR Bowker";0;NULL
"Shields Design";0;NULL
"Simon Direct Inc";0;NULL
"Small Press";0;NULL
"Springhouse Corp";0;NULL
"State Board Of Equalization";0;NULL
"State of California";0;NULL
Texaco;0;NULL
"The Drawing Board";0;NULL
"The Fresno Bee";0;NULL
"The Library Ltd";0;NULL
"The Mailers Guide Co";0;NULL
"The Presort Center";0;NULL
"The Windows Deck";0;NULL
"Towne Advertiser's Mailing Svcs";0;NULL
Unocal;0;NULL
"US Postal Service";0;NULL
Valprint;0;NULL
"Venture Communications Int'l";0;NULL
"Vision Envelope & Printing";0;NULL
"Yale Industrial Trucks-Fresno";0;NULL
"Zee Medical Service Co";0;NULL
"Zip Print & Copy Center";0;NULL
"Abbey Office Furnishings";1;17.50
"Bertelsmann Industry Svcs. Inc";1;6940.25
"Cahners Publishing Company";1;2184.50
"Coffee Break Service";1;41.80
Computerworld;1;2433.00
"Dean Witter Reynolds";1;1367.50
"Digital Dreamworks";1;7125.34
"Dristas Groom & McCormick";1;220.00
"Edward Data Services";1;207.78
"Evans Executone Inc";1;95.00
"Ford Motor Credit Company";1;503.20
"Franchise Tax Board";1;1600.00
"Fresno County Tax Collector";1;856.92
"Gostanian General Building";1;450.00
Pollstar;1;1750.00
Postmaster;1;290.00
"Reiter's Scientific & Pro Books";1;600.00
"Suburban Propane";1;16.62
"Wakefield Co";1;356.48
"Wang Laboratories, Inc.";1;936.93
"Wells Fargo Bank";1;662.00
"Yesmed, Inc";1;4901.26
"Cardinal Business Media, Inc.";2;265.36
Compuserve;2;19.90
"Data Reproductions Corp";2;21927.31
IBM;2;1200.12
Ingram;2;2154.42
"Blue Cross";3;564.00
"Roadway Package System, Inc";4;43.67
"Malloy Lithographing Inc";5;119892.41
"Pacific Bell";6;171.01
"Zylka Design";8;6940.25
"United Parcel Service";9;23177.96
"Federal Express Corporation";47;4378.02
