terms_id;vendor_id;last_payment_date;balance_due
1;34;2018-06-23;0.00
1;86;2018-06-17;0.00
1;88;2018-05-27;0.00
1;89;2018-05-01;0.00
1;114;2018-06-29;0.00
1;"All Vendors";2018-06-29;0.00
2;80;2018-07-16;90.36
2;81;2018-07-10;0.00
2;82;2018-08-13;0.00
2;83;2018-06-21;579.42
2;90;2018-08-07;0.00
2;94;2018-07-27;0.00
2;95;2018-08-06;0.00
2;96;2018-05-13;0.00
2;97;2018-05-28;0.00
2;119;2018-05-29;0.00
2;"All Vendors";2018-08-13;669.78
3;37;2018-07-07;224.00
3;48;2018-05-30;0.00
3;72;2018-06-29;85.31
3;99;2018-07-15;0.00
3;104;2018-06-24;0.00
3;105;2018-06-26;0.00
3;106;NULL;503.20
3;110;2018-08-27;30327.24
3;117;2018-08-14;0.00
3;121;2018-08-22;0.00
3;122;2018-08-24;0.00
3;123;2018-09-04;210.89
3;"All Vendors";2018-09-04;31350.64
4;100;2018-08-07;0.00
4;102;2018-08-04;0.00
4;107;2018-07-09;0.00
4;108;2018-07-03;0.00
4;115;2018-07-29;0.00
4;"All Vendors";2018-08-07;0.00
5;103;2018-07-31;0.00
5;113;2018-07-05;0.00
5;"All Vendors";2018-07-31;0.00
"Grand Total";"All Vendors";2018-09-04;32020.42
