vendor_name;invoice_number;invoice_date;invoice_total
"Abbey Office Furnishings";203339-13;2018-07-05;17.50
"Bertelsmann Industry Svcs. Inc";509786;2018-06-18;6940.25
"Blue Cross";547481328;2018-06-03;224.00
"Cahners Publishing Company";587056;2018-06-30;2184.50
"Cardinal Business Media, Inc.";133560;2018-06-22;175.00
"Coffee Break Service";109596;2018-06-24;41.80
Compuserve;21-4748363;2018-05-03;9.95
Computerworld;367447;2018-06-11;2433.00
"Data Reproductions Corp";40318;2018-06-01;21842.00
"Dean Witter Reynolds";75C-90227;2018-06-11;1367.50
"Digital Dreamworks";P02-3772;2018-05-21;7125.34
"Dristas Groom & McCormick";94007005;2018-05-23;220.00
"Edward Data Services";972110;2018-05-15;207.78
"Evans Executone Inc";125520-1;2018-04-24;95.00
"Federal Express Corporation";263253241;2018-04-10;40.20
"Ford Motor Credit Company";9982771;2018-07-24;503.20
"Franchise Tax Board";RTR-72-3662-X;2018-05-25;1600.00
"Fresno County Tax Collector";P02-88D77S7;2018-05-03;856.92
"Gostanian General Building";121897;2018-05-19;450.00
IBM;QP58872;2018-05-07;116.54
Ingram;31359783;2018-06-03;1575.00
"Malloy Lithographing Inc";0-2058;2018-05-28;37966.19
"Pacific Bell";111-92R-10096;2018-04-30;16.33
Pollstar;77290;2018-05-13;1750.00
Postmaster;CBM9920-M-T77109;2018-06-23;290.00
"Reiter's Scientific & Pro Books";C73-24;2018-07-19;600.00
"Roadway Package System, Inc";25022117;2018-05-01;6.00
"Suburban Propane";111897;2018-07-15;16.62
"United Parcel Service";989319-457;2018-04-08;3813.33
"Wakefield Co";97-1024A;2018-07-20;356.48
"Wang Laboratories, Inc.";MABO1489;2018-06-21;936.93
"Wells Fargo Bank";I77271-O01;2018-04-26;662.00
"Yesmed, Inc";10843;2018-05-11;4901.26
"Zylka Design";97/488;2018-04-24;601.95
